"","created","x"
"1","2016-04-11:19",3
"2","2016-04-11:20",9
"3","2016-04-11:21",26
"4","2016-04-11:22",18
"5","2016-04-11:23",15
"6","2016-04-12:00",33
"7","2016-04-12:01",9
"8","2016-04-12:02",9
"9","2016-04-12:03",3
"10","2016-04-12:04",2
"11","2016-04-12:05",2
"12","2016-04-12:06",6
"13","2016-04-12:07",4
"14","2016-04-12:08",11
"15","2016-04-12:09",14
"16","2016-04-12:10",9
"17","2016-04-12:11",36
"18","2016-04-12:12",31
"19","2016-04-12:13",22
"20","2016-04-12:14",25
"21","2016-04-12:15",46
"22","2016-04-12:16",23
"23","2016-04-12:17",23
"24","2016-04-12:18",7
"25","2016-04-12:19",133
"26","2016-04-12:20",3
"27","2016-04-12:21",29
"28","2016-04-12:22",30
"29","2016-04-12:23",26
"30","2016-04-13:00",12
"31","2016-04-13:01",24
"32","2016-04-13:02",-7
"33","2016-04-13:03",1
"34","2016-04-13:04",0
"35","2016-04-13:05",4
"36","2016-04-13:06",2
"37","2016-04-13:07",-1
"38","2016-04-13:08",0
"39","2016-04-13:09",15
"40","2016-04-13:10",12
"41","2016-04-13:11",16
"42","2016-04-13:12",37
"43","2016-04-13:13",23
"44","2016-04-13:14",11
"45","2016-04-13:15",23
"46","2016-04-13:16",29
"47","2016-04-13:17",42
"48","2016-04-13:18",5
"49","2016-04-13:19",20
"50","2016-04-13:20",26
"51","2016-04-13:21",6
"52","2016-04-13:22",14
"53","2016-04-13:23",11
"54","2016-04-14:00",10
"55","2016-04-14:01",9
"56","2016-04-14:02",4
"57","2016-04-14:03",2
"58","2016-04-14:04",6
"59","2016-04-14:05",4
"60","2016-04-14:06",4
"61","2016-04-14:07",-1
"62","2016-04-14:08",6
"63","2016-04-14:09",44
"64","2016-04-14:10",48
"65","2016-04-14:11",44
"66","2016-04-14:12",34
"67","2016-04-14:13",2
"68","2016-04-14:14",11
"69","2016-04-14:15",31
"70","2016-04-14:16",35
"71","2016-04-14:17",32
"72","2016-04-14:18",21
"73","2016-04-14:19",29
"74","2016-04-14:20",8
"75","2016-04-14:21",14
"76","2016-04-14:22",5
"77","2016-04-14:23",17
"78","2016-04-15:00",-3
"79","2016-04-15:01",12
"80","2016-04-15:02",7
"81","2016-04-15:03",-2
"82","2016-04-15:04",0
"83","2016-04-15:05",2
"84","2016-04-15:06",1
"85","2016-04-15:07",8
"86","2016-04-15:08",6
"87","2016-04-15:09",25
"88","2016-04-15:10",15
"89","2016-04-15:11",6
"90","2016-04-15:12",10
"91","2016-04-15:13",28
"92","2016-04-15:14",26
"93","2016-04-15:15",28
"94","2016-04-15:16",21
"95","2016-04-15:17",23
"96","2016-04-15:18",24
"97","2016-04-15:19",29
"98","2016-04-15:20",-12
"99","2016-04-15:21",1
"100","2016-04-15:22",-29
"101","2016-04-15:23",-20
"102","2016-04-16:00",2
"103","2016-04-16:01",3
"104","2016-04-16:02",0
"105","2016-04-16:03",2
"106","2016-04-16:04",3
"107","2016-04-16:05",-5
"108","2016-04-16:06",-14
"109","2016-04-16:07",-3
"110","2016-04-16:08",-14
"111","2016-04-16:09",-11
"112","2016-04-16:10",-29
"113","2016-04-16:11",5
"114","2016-04-16:12",-1
"115","2016-04-16:13",-18
"116","2016-04-16:14",11
"117","2016-04-16:15",5
"118","2016-04-16:16",3
"119","2016-04-16:17",-22
"120","2016-04-16:18",10
"121","2016-04-16:19",-3
"122","2016-04-16:20",-12
"123","2016-04-16:21",32
"124","2016-04-16:22",11
"125","2016-04-16:23",2
"126","2016-04-17:00",-4
"127","2016-04-17:01",5
"128","2016-04-17:02",0
"129","2016-04-17:03",2
"130","2016-04-17:04",-4
"131","2016-04-17:05",4
"132","2016-04-17:06",-1
"133","2016-04-17:07",-9
"134","2016-04-17:08",12
"135","2016-04-17:09",3
"136","2016-04-17:10",8
"137","2016-04-17:11",4
"138","2016-04-17:12",38
"139","2016-04-17:13",8
"140","2016-04-17:14",34
"141","2016-04-17:15",49
"142","2016-04-17:16",26
"143","2016-04-17:17",23
"144","2016-04-17:18",30
"145","2016-04-17:19",1
"146","2016-04-17:20",16
"147","2016-04-17:21",8
"148","2016-04-17:22",6
"149","2016-04-17:23",13
"150","2016-04-18:00",17
"151","2016-04-18:01",14
"152","2016-04-18:02",-1
"153","2016-04-18:03",4
"154","2016-04-18:04",9
"155","2016-04-18:05",-2
"156","2016-04-18:06",-2
"157","2016-04-18:07",-2
"158","2016-04-18:08",-6
"159","2016-04-18:09",-14
"160","2016-04-18:10",4
"161","2016-04-18:11",90
"162","2016-04-18:12",76
"163","2016-04-18:13",48
"164","2016-04-18:14",28
"165","2016-04-18:15",-3
"166","2016-04-18:16",20
"167","2016-04-18:17",14
"168","2016-04-18:18",16
"169","2016-04-18:19",28
"170","2016-04-19:19",1
"171","2016-05-01:19",-1
