"","tweet","created","number"
"1","negative","2016-04-11:19",10
"2","negative","2016-04-11:20",13
"3","negative","2016-04-11:21",15
"4","negative","2016-04-11:22",11
"5","negative","2016-04-11:23",19
"6","negative","2016-04-12:00",7
"7","negative","2016-04-12:01",8
"8","negative","2016-04-12:02",11
"9","negative","2016-04-12:03",3
"10","negative","2016-04-12:04",3
"11","negative","2016-04-12:05",2
"12","negative","2016-04-12:06",2
"13","negative","2016-04-12:07",5
"14","negative","2016-04-12:08",2
"15","negative","2016-04-12:09",6
"16","negative","2016-04-12:10",11
"17","negative","2016-04-12:11",5
"18","negative","2016-04-12:12",12
"19","negative","2016-04-12:13",13
"20","negative","2016-04-12:14",17
"21","negative","2016-04-12:15",10
"22","negative","2016-04-12:16",24
"23","negative","2016-04-12:17",16
"24","negative","2016-04-12:18",21
"25","negative","2016-04-12:19",23
"26","negative","2016-04-12:20",33
"27","negative","2016-04-12:21",13
"28","negative","2016-04-12:22",15
"29","negative","2016-04-12:23",15
"30","negative","2016-04-13:00",9
"31","negative","2016-04-13:01",7
"32","negative","2016-04-13:02",10
"33","negative","2016-04-13:03",7
"34","negative","2016-04-13:04",4
"35","negative","2016-04-13:05",2
"36","negative","2016-04-13:06",3
"37","negative","2016-04-13:07",5
"38","negative","2016-04-13:08",7
"39","negative","2016-04-13:09",8
"40","negative","2016-04-13:10",12
"41","negative","2016-04-13:11",8
"42","negative","2016-04-13:12",10
"43","negative","2016-04-13:13",13
"44","negative","2016-04-13:14",23
"45","negative","2016-04-13:15",11
"46","negative","2016-04-13:16",26
"47","negative","2016-04-13:17",9
"48","negative","2016-04-13:18",30
"49","negative","2016-04-13:19",23
"50","negative","2016-04-13:20",18
"51","negative","2016-04-13:21",33
"52","negative","2016-04-13:22",14
"53","negative","2016-04-13:23",15
"54","negative","2016-04-14:00",16
"55","negative","2016-04-14:01",8
"56","negative","2016-04-14:02",5
"57","negative","2016-04-14:03",4
"58","negative","2016-04-14:04",2
"59","negative","2016-04-14:05",2
"60","negative","2016-04-14:06",4
"61","negative","2016-04-14:07",13
"62","negative","2016-04-14:08",6
"63","negative","2016-04-14:09",3
"64","negative","2016-04-14:10",12
"65","negative","2016-04-14:11",7
"66","negative","2016-04-14:12",7
"67","negative","2016-04-14:13",19
"68","negative","2016-04-14:14",16
"69","negative","2016-04-14:15",14
"70","negative","2016-04-14:16",18
"71","negative","2016-04-14:17",15
"72","negative","2016-04-14:18",15
"73","negative","2016-04-14:19",20
"74","negative","2016-04-14:20",20
"75","negative","2016-04-14:21",28
"76","negative","2016-04-14:22",20
"77","negative","2016-04-14:23",16
"78","negative","2016-04-15:00",15
"79","negative","2016-04-15:01",7
"80","negative","2016-04-15:02",6
"81","negative","2016-04-15:03",4
"82","negative","2016-04-15:04",3
