"","created","x"
"1","2016-04-11:23",5
"2","2016-04-12:00",11
"3","2016-04-12:01",18
"4","2016-04-12:02",-2
"5","2016-04-12:03",10
"6","2016-04-12:04",-2
"7","2016-04-12:05",-1
"8","2016-04-12:06",8
"9","2016-04-12:07",5
"10","2016-04-12:08",5
"11","2016-04-12:09",8
"12","2016-04-12:10",12
"13","2016-04-12:11",8
"14","2016-04-12:12",15
"15","2016-04-12:13",12
"16","2016-04-12:14",4
"17","2016-04-12:15",103
"18","2016-04-12:16",22
"19","2016-04-12:17",9
"20","2016-04-12:18",12
"21","2016-04-12:19",7
"22","2016-04-12:20",-3
"23","2016-04-12:21",6
"24","2016-04-12:22",9
"25","2016-04-12:23",-2
"26","2016-04-13:00",5
"27","2016-04-13:01",5
"28","2016-04-13:02",3
"29","2016-04-13:03",2
"30","2016-04-13:04",7
"31","2016-04-13:05",-5
"32","2016-04-13:06",3
"33","2016-04-13:07",8
"34","2016-04-13:08",3
"35","2016-04-13:09",11
"36","2016-04-13:10",7
"37","2016-04-13:11",11
"38","2016-04-13:12",27
"39","2016-04-13:13",27
"40","2016-04-13:14",5
"41","2016-04-13:15",14
"42","2016-04-13:16",8
"43","2016-04-13:17",39
"44","2016-04-13:18",41
"45","2016-04-13:19",67
"46","2016-04-13:20",67
"47","2016-04-13:21",20
"48","2016-04-13:22",5
"49","2016-04-13:23",13
"50","2016-04-14:00",11
"51","2016-04-14:01",6
"52","2016-04-14:02",-3
"53","2016-04-14:03",2
"54","2016-04-14:04",-4
"55","2016-04-14:05",-6
"56","2016-04-14:06",2
"57","2016-04-14:07",3
"58","2016-04-14:08",0
"59","2016-04-14:09",-14
"60","2016-04-14:10",6
"61","2016-04-14:11",6
"62","2016-04-14:12",12
"63","2016-04-14:13",5
"64","2016-04-14:14",6
"65","2016-04-14:15",7
"66","2016-04-14:16",18
"67","2016-04-14:17",12
"68","2016-04-14:18",14
"69","2016-04-14:19",7
"70","2016-04-14:20",0
"71","2016-04-14:21",8
"72","2016-04-14:22",9
"73","2016-04-14:23",16
"74","2016-04-15:00",5
"75","2016-04-15:01",-1
"76","2016-04-15:02",1
"77","2016-04-15:03",3
"78","2016-04-15:04",1
"79","2016-04-15:05",5
"80","2016-04-15:06",4
"81","2016-04-15:07",10
"82","2016-04-15:08",17
"83","2016-04-15:09",18
"84","2016-04-15:10",15
"85","2016-04-15:11",31
"86","2016-04-15:12",4
"87","2016-04-15:13",19
"88","2016-04-15:14",16
"89","2016-04-15:15",23
"90","2016-04-15:16",3
"91","2016-04-15:17",15
"92","2016-04-15:18",20
"93","2016-04-15:19",25
"94","2016-04-15:20",12
"95","2016-04-15:21",15
"96","2016-04-15:22",9
"97","2016-04-15:23",5
"98","2016-04-16:00",11
"99","2016-04-16:01",27
"100","2016-04-16:02",39
"101","2016-04-16:03",36
"102","2016-04-16:04",36
"103","2016-04-16:05",1
"104","2016-04-16:06",-1
"105","2016-04-16:07",3
"106","2016-04-16:08",5
"107","2016-04-16:09",7
"108","2016-04-16:10",-2
"109","2016-04-16:11",18
"110","2016-04-16:12",6
"111","2016-04-16:13",21
"112","2016-04-16:14",1
"113","2016-04-16:15",6
"114","2016-04-16:16",5
"115","2016-04-16:17",10
"116","2016-04-16:18",-1
"117","2016-04-16:19",-3
"118","2016-04-16:20",11
"119","2016-04-16:21",12
"120","2016-04-16:22",24
"121","2016-04-16:23",3
"122","2016-04-17:00",7
"123","2016-04-17:01",-2
"124","2016-04-17:02",8
"125","2016-04-17:03",1
"126","2016-04-17:04",4
"127","2016-04-17:05",3
"128","2016-04-17:06",2
"129","2016-04-17:07",5
"130","2016-04-17:08",3
"131","2016-04-17:09",16
"132","2016-04-17:10",16
"133","2016-04-17:11",17
"134","2016-04-17:12",3
"135","2016-04-17:13",16
"136","2016-04-17:14",14
"137","2016-04-17:15",4
"138","2016-04-17:16",12
"139","2016-04-17:17",7
"140","2016-04-17:18",10
"141","2016-04-17:19",17
"142","2016-04-17:20",15
"143","2016-04-17:21",5
"144","2016-04-17:22",5
"145","2016-04-17:23",2
"146","2016-04-18:00",1
"147","2016-04-18:01",6
"148","2016-04-18:02",0
"149","2016-04-18:03",0
"150","2016-04-18:04",0
"151","2016-04-18:05",-1
"152","2016-04-18:06",1
"153","2016-04-18:07",4
"154","2016-04-18:08",3
"155","2016-04-18:09",10
"156","2016-04-18:10",32
"157","2016-04-18:11",14
"158","2016-04-18:12",12
"159","2016-04-18:13",14
"160","2016-04-18:14",15
"161","2016-04-18:15",12
"162","2016-04-18:16",20
"163","2016-04-18:17",18
"164","2016-04-18:18",31
"165","2016-04-18:19",4
"166","2016-04-18:20",12
"167","2016-04-18:21",8
"168","2016-04-18:22",17
"169","2016-04-18:23",5
"170","2016-04-19:00",-4
"171","2016-04-19:01",6
"172","2016-04-19:02",6
"173","2016-04-19:03",8
"174","2016-04-19:04",0
"175","2016-04-19:05",-1
"176","2016-04-19:06",3
"177","2016-04-19:07",-2
"178","2016-04-19:08",0
"179","2016-04-19:09",14
"180","2016-04-19:10",14
"181","2016-04-19:11",18
"182","2016-04-19:12",15
"183","2016-04-19:13",5
"184","2016-04-19:14",17
"185","2016-04-19:15",7
"186","2016-04-19:16",35
"187","2016-04-19:17",2
"188","2016-04-19:18",9
"189","2016-04-19:19",24
