"","score","text","created"
"1",0,"RT @antoinette0013: every year coach Howe does not play around when it comes to the Kroger sponsorship <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","2016-04-13:19"
"2",0,"every year coach Howe does not play around when it comes to the Kroger sponsorship <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","2016-04-13:19"
"3",2,"RT @meganhirth: When your coworker is a planner just like you so you have your work schedule done through August already <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> @Kylie_Kroger","2016-04-13:19"
"4",0,"kroger #tasteofspain #tapas tuna stuffed red peppers pimento, olives, paprika aioli, and chorizo… https://t.co/sIHfG3WxHe","2016-04-13:19"
"5",1,"#Kroger stock ready to jump, analyst says https://t.co/GwhJCRp7IV","2016-04-13:19"
"6",0,"RT @CincinnatiPD: Need help locating parents of a found child.  Found 5pm today at Kenard Kroger's 4777 Kenard Av. Info?Call 241-KIDS. http…","2016-04-13:19"
"7",1,"#Kroger stock ready to jump, analyst says https://t.co/O5H4v5g8qO","2016-04-13:19"
"8",0,"one time me and @heiids2point0 saw johnny depp in the kroger parking lot in pataskala","2016-04-13:19"
"9",0,"@ChandlerMariee kroger!","2016-04-13:19"
"10",0,"When my parents make me mad you could honestly pick me up and say we're going to Kroger and I'd be happy with that","2016-04-13:19"
"11",0,"NASCAR driver A.J. Allmendinger to appear at local Kroger for Fan Fest event - https://t.co/4TG948N0QC https://t.co/umHpnZsoqL","2016-04-13:19"
"12",1,"#Kroger stock ready to jump, analyst says https://t.co/xAwKbOvPML","2016-04-13:19"
"13",0,"I'm at Kroger in Richardson, TX https://t.co/NIoaDehsSf","2016-04-13:19"
"14",0,"@Nick_Nardone05 I was just at Kroger ): that's where I got the bread.. $1.28 without tax (:","2016-04-13:19"
"15",0,"@Nick_Nardone05 @MEGme_asandwich then dab on Kroger","2016-04-13:19"
"16",0,"@Cyle_DeBruyne you should be at every Kroger to help me find things","2016-04-13:19"
"17",1,"#Kroger stock ready to jump, analyst says https://t.co/d6GNsaDMsz","2016-04-13:19"
"18",1,"Kroger chocolate milk is the best chocolate milk don't fight me on this","2016-04-13:19"
"19",0,"@MEGme_asandwich go to Kroger with bread in your pocket , open up some turkey and lettuce make a sandwich and leave","2016-04-13:19"
"20",1,"i swear i go to kroger like 8 times a day","2016-04-13:19"
"21",0,"RT @will_kelly_14: smh at Kroger's wording <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #penisbroken https://t.co/URfg7pK6Ux","2016-04-13:19"
"22",1,"#Kroger stock ready to jump, analyst says https://t.co/1e8bH8zAQ9","2016-04-13:19"
"23",0,"NASCAR driver A.J. Allmendinger to appear at local Kroger for Fan Fest event - https://t.co/q5j7YgHh3M https://t.co/ItbuWxFYcl","2016-04-13:19"
"24",1,"stephcouponsxx: Enter to #win one of TWO $250 Kroger gift cards! #giveaway #sweeps #contest  … https://t.co/EnqGM3ndsJ","2016-04-13:19"
"25",1,"#Kroger stock ready to jump, analyst says https://t.co/8kwqijDHUZ","2016-04-13:19"
"26",1,"Enter to #win one of TWO $250 Kroger gift cards! #giveaway #sweeps #contest 
 https://t.co/we83UwyVZr","2016-04-13:19"
"27",0,"@kroger saginaw highway","2016-04-13:19"
"28",1,"I liked a @YouTube video https://t.co/4vCjZW8E6V KROGER SKATEBOARDING SHOES?!","2016-04-13:19"
"29",0,"Need help locating parents of a found child.  Found 5pm today at Kenard Kroger's 4777 Kenard Av. Info?Call 241-KIDS. https://t.co/UU4WeF9Av5","2016-04-13:19"
"30",0,"I'm at Kroger in Houston, TX https://t.co/ElvCewSEPT","2016-04-13:19"
"31",1,"#Kroger stock ready to jump, analyst says https://t.co/io8QWnNW3r","2016-04-13:19"
"32",-1,"talents: memorizing all the fruit codes at Kroger, making smoothie bowls, constantly being freezing cold","2016-04-13:19"
"33",1,"#Kroger stock ready to jump, analyst says https://t.co/Fo8KM74GYg","2016-04-13:19"
"34",0,"RT @Darius_Valdez: I went to Kroger to buy food because my mom left for the month and all I bought was beverages and cookies. I don't know…","2016-04-13:19"
