"","tweet","created","number"
"1","negative","2016-04-11:23",1
"2","negative","2016-04-12:00",6
"3","negative","2016-04-12:01",3
"4","negative","2016-04-12:02",4
"5","negative","2016-04-12:03",1
"6","negative","2016-04-12:04",2
"7","negative","2016-04-12:05",2
"8","negative","2016-04-12:06",1
"9","negative","2016-04-12:07",2
"10","negative","2016-04-12:08",4
"11","negative","2016-04-12:09",13
"12","negative","2016-04-12:10",10
"13","negative","2016-04-12:11",12
"14","negative","2016-04-12:12",14
"15","negative","2016-04-12:13",13
"16","negative","2016-04-12:14",8
"17","negative","2016-04-12:15",18
"18","negative","2016-04-12:16",8
"19","negative","2016-04-12:17",9
"20","negative","2016-04-12:18",12
"21","negative","2016-04-12:19",9
"22","negative","2016-04-12:20",20
"23","negative","2016-04-12:21",17
"24","negative","2016-04-12:22",12
"25","negative","2016-04-12:23",14
"26","negative","2016-04-13:00",15
"27","negative","2016-04-13:01",2
"28","negative","2016-04-13:03",1
"29","negative","2016-04-13:04",1
"30","negative","2016-04-13:05",5
"31","negative","2016-04-13:06",4
"32","negative","2016-04-13:07",2
"33","negative","2016-04-13:08",4
"34","negative","2016-04-13:09",4
"35","negative","2016-04-13:10",9
"36","negative","2016-04-13:11",11
"37","negative","2016-04-13:12",11
"38","negative","2016-04-13:13",6
"39","negative","2016-04-13:14",10
"40","negative","2016-04-13:15",7
"41","negative","2016-04-13:16",13
"42","negative","2016-04-13:17",10
"43","negative","2016-04-13:18",14
"44","negative","2016-04-13:19",13
"45","negative","2016-04-13:20",12
"46","negative","2016-04-13:21",14
"47","negative","2016-04-13:22",11
"48","negative","2016-04-13:23",2
"49","negative","2016-04-14:00",1
"50","negative","2016-04-14:01",2
"51","negative","2016-04-14:02",6
"52","negative","2016-04-14:03",3
"53","negative","2016-04-14:04",2
"54","negative","2016-04-14:05",4
"55","negative","2016-04-14:06",1
"56","negative","2016-04-14:07",6
"57","negative","2016-04-14:08",8
"58","negative","2016-04-14:09",28
"59","negative","2016-04-14:10",8
"60","negative","2016-04-14:11",8
"61","negative","2016-04-14:12",13
"62","negative","2016-04-14:13",15
"63","negative","2016-04-14:14",15
"64","negative","2016-04-14:15",13
"65","negative","2016-04-14:16",6
"66","negative","2016-04-14:17",14
"67","negative","2016-04-14:18",15
"68","negative","2016-04-14:19",11
"69","negative","2016-04-14:20",18
"70","negative","2016-04-14:21",15
"71","negative","2016-04-14:22",11
"72","negative","2016-04-14:23",3
"73","negative","2016-04-15:00",4
"74","negative","2016-04-15:01",4
"75","negative","2016-04-15:02",2
"76","negative","2016-04-15:03",1
"77","negative","2016-04-15:06",1
"78","negative","2016-04-15:07",3
"79","negative","2016-04-15:08",3
"80","negative","2016-04-15:09",8
"81","negative","2016-04-15:10",6
"82","negative","2016-04-15:11",7
"83","negative","2016-04-15:12",12
"84","negative","2016-04-15:13",8
"85","negative","2016-04-15:14",13
"86","negative","2016-04-15:15",7
"87","negative","2016-04-15:16",14
"88","negative","2016-04-15:17",13
"89","negative","2016-04-15:18",3
"90","negative","2016-04-15:19",8
"91","negative","2016-04-15:20",10
"92","negative","2016-04-15:21",7
"93","negative","2016-04-15:22",8
"94","negative","2016-04-15:23",7
"95","negative","2016-04-16:00",6
"96","negative","2016-04-16:01",4
"97","negative","2016-04-16:02",1
"98","negative","2016-04-16:03",3
"99","negative","2016-04-16:04",1
"100","negative","2016-04-16:05",1
"101","negative","2016-04-16:06",2
"102","negative","2016-04-16:07",2
"103","negative","2016-04-16:08",1
"104","negative","2016-04-16:09",3
"105","negative","2016-04-16:10",13
"106","negative","2016-04-16:11",4
"107","negative","2016-04-16:12",10
"108","negative","2016-04-16:13",9
"109","negative","2016-04-16:14",18
"110","negative","2016-04-16:15",9
"111","negative","2016-04-16:16",8
"112","negative","2016-04-16:17",13
"113","negative","2016-04-16:18",11
"114","negative","2016-04-16:19",19
"115","negative","2016-04-16:20",6
"116","negative","2016-04-16:21",3
"117","negative","2016-04-16:22",8
"118","negative","2016-04-16:23",5
"119","negative","2016-04-17:00",8
"120","negative","2016-04-17:01",4
"121","negative","2016-04-17:02",1
"122","negative","2016-04-17:03",2
"123","negative","2016-04-17:04",1
"124","negative","2016-04-17:05",1
"125","negative","2016-04-17:06",1
"126","negative","2016-04-17:07",1
"127","negative","2016-04-17:08",2
"128","negative","2016-04-17:09",3
"129","negative","2016-04-17:10",6
"130","negative","2016-04-17:11",9
"131","negative","2016-04-17:12",12
"132","negative","2016-04-17:13",9
"133","negative","2016-04-17:14",11
"134","negative","2016-04-17:15",13
"135","negative","2016-04-17:16",10
"136","negative","2016-04-17:17",14
"137","negative","2016-04-17:18",11
"138","negative","2016-04-17:19",11
"139","negative","2016-04-17:20",11
"140","negative","2016-04-17:21",13
"141","negative","2016-04-17:22",7
"142","negative","2016-04-17:23",7
"143","negative","2016-04-18:00",5
"144","negative","2016-04-18:01",1
"145","negative","2016-04-18:02",3
"146","negative","2016-04-18:03",1
"147","negative","2016-04-18:04",1
"148","negative","2016-04-18:05",2
"149","negative","2016-04-18:06",1
"150","negative","2016-04-18:07",3
"151","negative","2016-04-18:08",4
"152","negative","2016-04-18:09",7
"153","negative","2016-04-18:10",6
"154","negative","2016-04-18:11",5
"155","negative","2016-04-18:12",7
"156","negative","2016-04-18:13",12
"157","negative","2016-04-18:14",7
"158","negative","2016-04-18:15",10
"159","negative","2016-04-18:16",9
"160","negative","2016-04-18:17",7
"161","negative","2016-04-18:18",11
"162","negative","2016-04-18:19",15
"163","negative","2016-04-18:20",11
"164","negative","2016-04-18:21",19
"165","negative","2016-04-18:22",15
"166","negative","2016-04-18:23",6
"167","negative","2016-04-19:00",13
"168","negative","2016-04-19:01",6
"169","negative","2016-04-19:04",1
"170","negative","2016-04-19:05",1
"171","negative","2016-04-19:06",1
"172","negative","2016-04-19:07",3
"173","negative","2016-04-19:08",4
"174","negative","2016-04-19:09",5
"175","negative","2016-04-19:10",8
"176","negative","2016-04-19:11",13
"177","negative","2016-04-19:12",8
"178","negative","2016-04-19:13",15
"179","negative","2016-04-19:14",13
"180","negative","2016-04-19:15",17
"181","negative","2016-04-19:16",14
"182","negative","2016-04-19:17",18
"183","negative","2016-04-19:18",21
"184","negative","2016-04-19:19",12
"185","positive","2016-04-11:23",5
"186","positive","2016-04-12:00",15
"187","positive","2016-04-12:01",17
"188","positive","2016-04-12:02",2
"189","positive","2016-04-12:03",6
"190","positive","2016-04-12:04",1
"191","positive","2016-04-12:05",1
"192","positive","2016-04-12:06",9
"193","positive","2016-04-12:07",6
"194","positive","2016-04-12:08",8
"195","positive","2016-04-12:09",20
"196","positive","2016-04-12:10",21
"197","positive","2016-04-12:11",21
"198","positive","2016-04-12:12",25
"199","positive","2016-04-12:13",24
"200","positive","2016-04-12:14",10
"201","positive","2016-04-12:15",73
"202","positive","2016-04-12:16",24
"203","positive","2016-04-12:17",15
"204","positive","2016-04-12:18",22
"205","positive","2016-04-12:19",16
"206","positive","2016-04-12:20",21
"207","positive","2016-04-12:21",23
"208","positive","2016-04-12:22",21
"209","positive","2016-04-12:23",12
"210","positive","2016-04-13:00",13
"211","positive","2016-04-13:01",7
"212","positive","2016-04-13:02",2
"213","positive","2016-04-13:03",3
"214","positive","2016-04-13:04",6
"215","positive","2016-04-13:06",8
"216","positive","2016-04-13:07",10
"217","positive","2016-04-13:08",7
"218","positive","2016-04-13:09",13
"219","positive","2016-04-13:10",15
"220","positive","2016-04-13:11",15
"221","positive","2016-04-13:12",29
"222","positive","2016-04-13:13",23
"223","positive","2016-04-13:14",16
"224","positive","2016-04-13:15",18
"225","positive","2016-04-13:16",17
"226","positive","2016-04-13:17",42
"227","positive","2016-04-13:18",51
"228","positive","2016-04-13:19",77
"229","positive","2016-04-13:20",72
"230","positive","2016-04-13:21",32
"231","positive","2016-04-13:22",17
"232","positive","2016-04-13:23",13
"233","positive","2016-04-14:00",10
"234","positive","2016-04-14:01",9
"235","positive","2016-04-14:02",4
"236","positive","2016-04-14:03",5
"237","positive","2016-04-14:04",1
"238","positive","2016-04-14:06",4
"239","positive","2016-04-14:07",9
"240","positive","2016-04-14:08",12
"241","positive","2016-04-14:09",17
"242","positive","2016-04-14:10",16
"243","positive","2016-04-14:11",14
"244","positive","2016-04-14:12",22
"245","positive","2016-04-14:13",22
"246","positive","2016-04-14:14",23
"247","positive","2016-04-14:15",19
"248","positive","2016-04-14:16",16
"249","positive","2016-04-14:17",25
"250","positive","2016-04-14:18",24
"251","positive","2016-04-14:19",14
"252","positive","2016-04-14:20",14
"253","positive","2016-04-14:21",16
"254","positive","2016-04-14:22",24
"255","positive","2016-04-14:23",15
"256","positive","2016-04-15:00",8
"257","positive","2016-04-15:01",2
"258","positive","2016-04-15:02",4
"259","positive","2016-04-15:03",4
"260","positive","2016-04-15:04",1
"261","positive","2016-04-15:05",5
"262","positive","2016-04-15:06",5
"263","positive","2016-04-15:07",13
"264","positive","2016-04-15:08",21
"265","positive","2016-04-15:09",19
"266","positive","2016-04-15:10",21
"267","positive","2016-04-15:11",35
"268","positive","2016-04-15:12",14
"269","positive","2016-04-15:13",25
"270","positive","2016-04-15:14",24
"271","positive","2016-04-15:15",22
"272","positive","2016-04-15:16",17
"273","positive","2016-04-15:17",23
"274","positive","2016-04-15:18",18
