"","created","x"
"1","2016-04-11:17",4
"2","2016-04-11:18",13
"3","2016-04-11:19",14
"4","2016-04-11:20",124
"5","2016-04-11:21",18
"6","2016-04-11:22",9
"7","2016-04-11:23",16
"8","2016-04-12:00",17
"9","2016-04-12:01",6
"10","2016-04-12:02",13
"11","2016-04-12:03",1
"12","2016-04-12:04",1
"13","2016-04-12:05",14
"14","2016-04-12:06",1
"15","2016-04-12:07",10
"16","2016-04-12:08",17
"17","2016-04-12:09",20
"18","2016-04-12:10",38
"19","2016-04-12:11",31
"20","2016-04-12:12",31
"21","2016-04-12:13",36
"22","2016-04-12:14",36
"23","2016-04-12:15",23
"24","2016-04-12:16",24
"25","2016-04-12:17",27
"26","2016-04-12:18",31
"27","2016-04-12:19",21
"28","2016-04-12:20",9
"29","2016-04-12:21",9
"30","2016-04-12:22",-2
"31","2016-04-12:23",3
"32","2016-04-13:00",2
"33","2016-04-13:01",1
"34","2016-04-13:02",11
"35","2016-04-13:03",5
"36","2016-04-13:04",10
"37","2016-04-13:05",11
"38","2016-04-13:06",4
"39","2016-04-13:07",8
"40","2016-04-13:08",35
"41","2016-04-13:09",46
"42","2016-04-13:10",27
"43","2016-04-13:11",63
"44","2016-04-13:12",30
"45","2016-04-13:13",54
"46","2016-04-13:14",51
"47","2016-04-13:15",101
"48","2016-04-13:16",73
"49","2016-04-13:17",53
"50","2016-04-13:18",53
"51","2016-04-13:19",18
"52","2016-04-14:20",11
"53","2016-04-14:21",9
"54","2016-04-14:22",3
"55","2016-04-14:23",9
"56","2016-04-15:00",5
"57","2016-04-15:01",3
"58","2016-04-15:02",4
"59","2016-04-15:03",-6
"60","2016-04-15:04",4
"61","2016-04-15:05",6
"62","2016-04-15:06",4
"63","2016-04-15:07",15
"64","2016-04-15:08",26
"65","2016-04-15:09",55
"66","2016-04-15:10",52
"67","2016-04-15:11",33
"68","2016-04-15:12",30
"69","2016-04-15:13",33
"70","2016-04-15:14",76
"71","2016-04-15:15",71
"72","2016-04-15:16",42
"73","2016-04-15:17",26
"74","2016-04-15:18",47
"75","2016-04-15:19",49
"76","2016-04-15:20",21
"77","2016-04-15:21",4
"78","2016-04-15:22",13
"79","2016-04-15:23",15
"80","2016-04-16:00",4
"81","2016-04-16:01",2
"82","2016-04-16:02",0
"83","2016-04-16:03",4
"84","2016-04-16:04",1
"85","2016-04-16:05",10
"86","2016-04-16:06",7
"87","2016-04-16:07",32
"88","2016-04-16:08",109
"89","2016-04-16:09",114
"90","2016-04-16:10",57
"91","2016-04-16:11",63
"92","2016-04-16:12",31
"93","2016-04-16:13",95
"94","2016-04-16:14",77
"95","2016-04-16:15",168
"96","2016-04-16:16",70
"97","2016-04-16:17",59
"98","2016-04-16:18",10
"99","2016-04-16:19",8
"100","2016-04-16:20",2
"101","2016-04-16:21",4
"102","2016-04-16:22",-4
"103","2016-04-16:23",5
"104","2016-04-17:00",1
"105","2016-04-17:01",-1
"106","2016-04-17:02",1
"107","2016-04-17:03",2
"108","2016-04-17:04",1
"109","2016-04-17:05",-1
"110","2016-04-17:06",-2
"111","2016-04-17:07",25
"112","2016-04-17:08",23
"113","2016-04-17:09",47
"114","2016-04-17:10",31
"115","2016-04-17:11",24
"116","2016-04-17:12",-29
"117","2016-04-17:13",35
"118","2016-04-17:14",38
"119","2016-04-17:15",27
"120","2016-04-17:16",44
"121","2016-04-17:17",25
"122","2016-04-17:18",18
"123","2016-04-17:19",22
"124","2016-04-17:20",4
"125","2016-04-17:21",6
"126","2016-04-17:22",-5
"127","2016-04-17:23",-4
"128","2016-04-18:00",-3
"129","2016-04-18:01",4
"130","2016-04-18:02",1
"131","2016-04-18:03",67
"132","2016-04-18:04",9
"133","2016-04-18:05",9
"134","2016-04-18:06",3
"135","2016-04-18:07",4
"136","2016-04-18:08",25
"137","2016-04-18:09",26
"138","2016-04-18:10",35
"139","2016-04-18:11",30
"140","2016-04-18:12",27
"141","2016-04-18:13",18
"142","2016-04-18:14",48
"143","2016-04-18:15",44
"144","2016-04-18:16",35
"145","2016-04-18:17",87
"146","2016-04-18:18",88
"147","2016-04-18:19",20
"148","2016-04-19:19",5
