"","score","text","created"
"1",-1,"RT @Dory: sleeping is hard in the summer because blankets are too warm but without blankets im vulnerable to monsters","2016-04-18:19"
"2",0,"My new fav thing is propagating expensive succulents from home depo/ lowes :) https://t.co/B9CV8HD5zD","2016-04-18:19"
"3",1,"Want to work at Lowe's Stores? We're #hiring in #KailuaKona, HI! Click for details: https://t.co/3KZe2Supap #CustomerService #Job #Jobs","2016-04-18:19"
"4",0,"RT @RebldgTogthr: Familias se benefician de reparaciones en sus hogares https://t.co/5aFz6TMJJl via @univisionco #RebuildABlock @Lowes @RTM…","2016-04-18:19"
"5",0,"#nascar #nascarpics Jimmie Johnson  #48  Lowes   2016 1/64 Lionel  NASCAR Authentics Wa... https://t.co/AQlxxOYxia https://t.co/obKl0ovM9i","2016-04-18:19"
"6",1,"Want to work in #ColoradoSprings, CO? View our latest opening: https://t.co/6S7wLLXqle #CustomerService #Job #Jobs #Hiring","2016-04-18:19"
"7",2,"RT @ESPN_WomenHoop: Think it’s too early for a preseason top 25? Think UConn should be No. 1? Think again. @CharlieCreme top 25: https://t.…","2016-04-18:19"
"8",0,"Join the Lowe's Stores team! See our latest #Sales #job opening here: https://t.co/H9QyZnzvKx #Eugene, OR #Hiring","2016-04-18:19"
"9",1,"Can you recommend anyone for this #Retail #job? https://t.co/gfRFFr7Z17 #Hobbs, NM #Hiring","2016-04-18:19"
"10",1,"@BannerBJones Aw, Banner, you're a sweet pup!","2016-04-18:19"
"11",0,"Join the Lowe's Stores team! See our latest #CustomerService #job opening here: https://t.co/IYyIjRvxlr #Tacoma, WA #Hiring","2016-04-18:19"
"12",-1,"RT @arealliveghost: is it physically possible for a person to leave lowes? they're playing ""staying alive"" in a way I feel might be sinister","2016-04-18:19"
"13",1,"RT @_shaebradley: I wanna work at lowes. Job qualifications you ask? I love the smell of the place. That is all.","2016-04-18:19"
"14",0,"RT @Lowes_Canada: Looking for a #job? We're #NowHiring for our #Danforth store, opening soon! More info: https://t.co/9CJLHcxzhv https://t.…","2016-04-18:19"
"15",0,"@Lowes 1st list includes all our packing materials for the move. Then we will be back next week for our container gardening materials!! <ed><U+00A0><U+00BC><ed><U+00BC><U+00BA>","2016-04-18:19"
"16",1,"@MsBanta4now Nice! Did you find one that you liked?","2016-04-18:19"
"17",0,"Lowe's Stores #Retail #Job: Store Seasonal Employee- Plant Watering (#Bellevue, WA) https://t.co/ZbM9DnjmOV #Jobs #Hiring","2016-04-18:19"
"18",2,"RT @bloodassurance: Spring is here, and @Lowes is going to help one lucky lifesaver get their cleaning started with a $100 gift card! https…","2016-04-18:19"
"19",0,"@MsBanta4now We kinda think so too!","2016-04-18:19"
"20",1,"@tiffenywilbourn Ah! So exciting, Tiffany. What's on your wish list?","2016-04-18:19"
"21",1,"I liked a @YouTube video https://t.co/B6d0XOxfNq Jason Genova trains &amp; meets Linn Lowes!","2016-04-18:19"
"22",0,"#Labor #Job alert: Part-Time Receiver/Stocker Sun 3pm-8pm, Tues &amp; Thurs 5pm-10pm | Lowe's Stores | #Chandler, AZ https://t.co/XbPYLo42i5","2016-04-18:19"
"23",0,"RT @NegusNasty: @GoofyTwoTimes jk we at lowes nigga <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> http://t.co/dK6h2o1zSo","2016-04-18:19"
"24",1,"Interested in a #Sales #job near #Fernley, NV? This could be a great fit: https://t.co/mj7tOgWZjb #Hiring","2016-04-18:19"
"25",0,"We're #hiring! Read about our latest #job opening here: Store Seasonal Employee- Plumbing - https://t.co/1M6SUOMO0b #SanJose, CA","2016-04-18:19"
"26",0,"Lowe's Stores #Sales #Job: Loader, Outside Lawn &amp; Garden, Store Seasonal Employee (#Riverton, UT) https://t.co/Qoa4zdZWHf #Jobs #Hiring","2016-04-18:19"
"27",0,"RT @YoungNigga_Bird: We got a double truck at work today and the number of packages is 666… HELL NAAAA bih I'm bout to go home fuck Lowes d…","2016-04-18:19"
"28",0,"CRIMEBLOG Fraudulent Return at Lowe’s Home Improvement on Algonquin Rd, Arlington Heights: Arlington Heights p... https://t.co/2mWtzk0B9N","2016-04-18:19"
"29",0,"loool i remember i lowes doing the same shit talking about fans are not in stock or in season","2016-04-18:19"
"30",-1,"We got a double truck at work today and the number of packages is 666… HELL NAAAA bih I'm bout to go home fuck Lowes dey wit da bull shit.","2016-04-18:19"
"31",0,"Lowe's Stores #Retail #Job: CSA Front End (#WestBountiful, UT) https://t.co/XUVs36DGwg #Jobs #Hiring","2016-04-18:19"
