"","tweet","created","number"
"1","negative","2016-04-11:17",1
"2","negative","2016-04-11:18",9
"3","negative","2016-04-11:19",5
"4","negative","2016-04-11:20",20
"5","negative","2016-04-11:21",7
"6","negative","2016-04-11:22",3
"7","negative","2016-04-11:23",3
"8","negative","2016-04-12:00",2
"9","negative","2016-04-12:03",1
"10","negative","2016-04-12:04",1
"11","negative","2016-04-12:06",2
"12","negative","2016-04-12:07",2
"13","negative","2016-04-12:08",7
"14","negative","2016-04-12:09",6
"15","negative","2016-04-12:10",9
"16","negative","2016-04-12:11",7
"17","negative","2016-04-12:12",9
"18","negative","2016-04-12:13",8
"19","negative","2016-04-12:14",3
"20","negative","2016-04-12:15",7
"21","negative","2016-04-12:16",12
"22","negative","2016-04-12:17",7
"23","negative","2016-04-12:18",8
"24","negative","2016-04-12:19",7
"25","negative","2016-04-12:20",7
"26","negative","2016-04-12:21",3
"27","negative","2016-04-12:22",7
"28","negative","2016-04-12:23",3
"29","negative","2016-04-13:00",2
"30","negative","2016-04-13:01",3
"31","negative","2016-04-13:02",1
"32","negative","2016-04-13:04",1
"33","negative","2016-04-13:06",3
"34","negative","2016-04-13:07",2
"35","negative","2016-04-13:09",9
"36","negative","2016-04-13:10",5
"37","negative","2016-04-13:11",2
"38","negative","2016-04-13:12",11
"39","negative","2016-04-13:13",5
"40","negative","2016-04-13:14",7
"41","negative","2016-04-13:15",6
"42","negative","2016-04-13:16",10
"43","negative","2016-04-13:17",8
"44","negative","2016-04-13:18",5
"45","negative","2016-04-13:19",4
"46","negative","2016-04-14:20",2
"47","negative","2016-04-14:21",4
"48","negative","2016-04-14:22",7
"49","negative","2016-04-15:00",2
"50","negative","2016-04-15:01",2
"51","negative","2016-04-15:03",3
"52","negative","2016-04-15:05",1
"53","negative","2016-04-15:06",1
"54","negative","2016-04-15:07",1
"55","negative","2016-04-15:08",4
"56","negative","2016-04-15:09",6
"57","negative","2016-04-15:10",5
"58","negative","2016-04-15:11",2
"59","negative","2016-04-15:12",4
"60","negative","2016-04-15:13",10
"61","negative","2016-04-15:14",5
"62","negative","2016-04-15:15",4
"63","negative","2016-04-15:16",3
"64","negative","2016-04-15:17",11
"65","negative","2016-04-15:18",14
"66","negative","2016-04-15:19",7
"67","negative","2016-04-15:20",3
"68","negative","2016-04-15:21",3
"69","negative","2016-04-15:22",2
"70","negative","2016-04-15:23",1
"71","negative","2016-04-16:00",1
"72","negative","2016-04-16:01",1
"73","negative","2016-04-16:02",2
"74","negative","2016-04-16:04",2
"75","negative","2016-04-16:05",2
"76","negative","2016-04-16:06",1
"77","negative","2016-04-16:07",5
"78","negative","2016-04-16:08",5
"79","negative","2016-04-16:09",6
"80","negative","2016-04-16:10",9
"81","negative","2016-04-16:11",10
"82","negative","2016-04-16:12",14
"83","negative","2016-04-16:13",5
"84","negative","2016-04-16:14",6
"85","negative","2016-04-16:15",11
"86","negative","2016-04-16:16",7
"87","negative","2016-04-16:17",8
"88","negative","2016-04-16:18",10
"89","negative","2016-04-16:19",6
"90","negative","2016-04-16:20",12
"91","negative","2016-04-16:21",4
"92","negative","2016-04-16:22",9
"93","negative","2016-04-16:23",1
"94","negative","2016-04-17:00",3
"95","negative","2016-04-17:01",2
"96","negative","2016-04-17:02",5
"97","negative","2016-04-17:03",1
"98","negative","2016-04-17:05",2
"99","negative","2016-04-17:06",2
"100","negative","2016-04-17:07",3
"101","negative","2016-04-17:08",4
"102","negative","2016-04-17:09",2
"103","negative","2016-04-17:10",4
"104","negative","2016-04-17:11",9
