"","created","x"
"1","2016-04-11:20",10
"2","2016-04-11:21",7
"3","2016-04-11:22",-4
"4","2016-04-11:23",6
"5","2016-04-12:00",6
"6","2016-04-12:01",2
"7","2016-04-12:02",0
"8","2016-04-12:03",3
"9","2016-04-12:04",2
"10","2016-04-12:05",2
"11","2016-04-12:06",0
"12","2016-04-12:07",0
"13","2016-04-12:08",-1
"14","2016-04-12:09",2
"15","2016-04-12:10",1
"16","2016-04-12:11",7
"17","2016-04-12:12",-6
"18","2016-04-12:13",-1
"19","2016-04-12:14",-7
"20","2016-04-12:15",8
"21","2016-04-12:16",6
"22","2016-04-12:17",7
"23","2016-04-12:18",12
"24","2016-04-12:19",-5
"25","2016-04-12:20",5
"26","2016-04-12:21",-3
"27","2016-04-12:22",4
"28","2016-04-12:23",-1
"29","2016-04-13:00",5
"30","2016-04-13:01",4
"31","2016-04-13:02",7
"32","2016-04-13:03",0
"33","2016-04-13:04",0
"34","2016-04-13:05",0
"35","2016-04-13:06",-2
"36","2016-04-13:07",0
"37","2016-04-13:08",-1
"38","2016-04-13:09",1
"39","2016-04-13:10",6
"40","2016-04-13:11",10
"41","2016-04-13:12",0
"42","2016-04-13:13",5
"43","2016-04-13:14",16
"44","2016-04-13:15",6
"45","2016-04-13:16",0
"46","2016-04-13:17",2
"47","2016-04-13:18",0
"48","2016-04-13:19",2
"49","2016-04-13:20",3
"50","2016-04-13:21",2
"51","2016-04-13:22",5
"52","2016-04-13:23",-3
"53","2016-04-14:00",5
"54","2016-04-14:01",7
"55","2016-04-14:02",3
"56","2016-04-14:03",-1
"57","2016-04-14:04",-3
"58","2016-04-14:05",2
"59","2016-04-14:06",2
"60","2016-04-14:07",0
"61","2016-04-14:08",2
"62","2016-04-14:09",-2
"63","2016-04-14:10",2
"64","2016-04-14:11",3
"65","2016-04-14:12",10
"66","2016-04-14:13",7
"67","2016-04-14:14",3
"68","2016-04-14:15",3
"69","2016-04-14:16",3
"70","2016-04-14:17",9
"71","2016-04-14:18",12
"72","2016-04-14:19",5
"73","2016-04-14:20",0
"74","2016-04-14:21",0
"75","2016-04-14:22",9
"76","2016-04-14:23",5
"77","2016-04-15:00",5
"78","2016-04-15:01",7
"79","2016-04-15:02",-4
"80","2016-04-15:03",-3
"81","2016-04-15:04",5
"82","2016-04-15:05",3
"83","2016-04-15:06",0
"84","2016-04-15:07",-1
"85","2016-04-15:08",0
"86","2016-04-15:09",7
"87","2016-04-15:10",-1
"88","2016-04-15:11",5
"89","2016-04-15:12",1
"90","2016-04-15:13",-10
"91","2016-04-15:14",10
"92","2016-04-15:15",5
"93","2016-04-15:16",11
"94","2016-04-15:17",1
"95","2016-04-15:18",-3
"96","2016-04-15:19",2
"97","2016-04-15:20",1
"98","2016-04-15:21",-3
"99","2016-04-15:22",1
"100","2016-04-15:23",4
"101","2016-04-16:00",-5
"102","2016-04-16:01",1
"103","2016-04-16:02",-4
"104","2016-04-16:03",-5
"105","2016-04-16:04",1
"106","2016-04-16:05",-2
"107","2016-04-16:06",-2
"108","2016-04-16:07",0
"109","2016-04-16:08",0
"110","2016-04-16:09",-2
"111","2016-04-16:10",-1
"112","2016-04-16:11",-2
"113","2016-04-16:12",0
"114","2016-04-16:13",-2
"115","2016-04-16:14",4
"116","2016-04-16:15",1
"117","2016-04-16:16",4
"118","2016-04-16:17",0
"119","2016-04-16:18",3
"120","2016-04-16:19",0
"121","2016-04-16:20",19
"122","2016-04-16:21",-1
"123","2016-04-16:22",0
"124","2016-04-16:23",-1
"125","2016-04-17:00",1
"126","2016-04-17:01",2
"127","2016-04-17:02",0
"128","2016-04-17:03",2
"129","2016-04-17:04",-1
"130","2016-04-17:05",4
"131","2016-04-17:06",-3
"132","2016-04-17:07",0
"133","2016-04-17:08",2
"134","2016-04-17:09",0
"135","2016-04-17:10",-1
"136","2016-04-17:11",3
"137","2016-04-17:12",3
"138","2016-04-17:13",7
"139","2016-04-17:14",7
"140","2016-04-17:15",5
"141","2016-04-17:16",3
"142","2016-04-17:17",-3
"143","2016-04-17:18",6
"144","2016-04-17:19",11
"145","2016-04-17:20",5
"146","2016-04-17:21",-4
"147","2016-04-17:22",0
"148","2016-04-17:23",4
"149","2016-04-18:00",-2
"150","2016-04-18:01",7
"151","2016-04-18:02",1
"152","2016-04-18:03",-2
"153","2016-04-18:04",2
"154","2016-04-18:05",4
"155","2016-04-18:06",1
"156","2016-04-18:07",4
"157","2016-04-18:08",-1
"158","2016-04-18:09",0
"159","2016-04-18:10",3
"160","2016-04-18:11",5
"161","2016-04-18:12",0
"162","2016-04-18:13",-1
"163","2016-04-18:14",1
"164","2016-04-18:15",1
"165","2016-04-18:16",-4
"166","2016-04-18:17",-2
"167","2016-04-18:18",4
"168","2016-04-18:19",14
