"","score","text","created"
"1",0,"#JobSearch Production Clerk I to Stocker (12691) (DEN only) - Safeway - Fraser, CO Find this Job &amp; More https://t.co/BwdSN9lgoZ","2016-04-12:19"
"2",0,"@fullbright I'll be the White Dog. We can head to Safeway and find Doug.","2016-04-12:19"
"3",0,"2 out of the 3 times I have ordered diakon radishes from Safeway I have gotten a huge bag of regular radishes. Why would I ever want that?","2016-04-12:19"
"4",-1,"@Joi_the_Artist And I loathe Safeway.","2016-04-12:19"
"5",0,"@Joi_the_Artist The one nearest me is awful. That's in Western WA. In Eastern WA, I'm just happy to have Safeway within an hour's drive.","2016-04-12:19"
"6",0,"#customerservice Clerk-Seafood (11239) - Safeway - Anacortes, WA  https://t.co/oQuuVMjqYs","2016-04-12:19"
"7",0,"#coffee (at @Safeway in Farmington, NM) https://t.co/l0C0aeTsSv","2016-04-12:19"
"8",0,"*at Safeway and my grandma asks where the toys are*
Me:""she doesn't need toys!""
Chubba:""YES I DO"" <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","2016-04-12:19"
"9",0,"safeway 50, reefer car atlas 2302 n scale nos,  https://t.co/wm9WWVit8P https://t.co/kO2CSQ6oNl","2016-04-12:19"
"10",1,"RT @theliz13: Then Kroger, who does a MUCH better job than Safeway, took a WEEK to fill my phoned in script for a daily pill I needed FRIDA…","2016-04-12:19"
"11",-3,"RT @theliz13: So the pharmacist at Safeway failed to bill insurance for one script, failed to even FILL the cheap heartburn pills...","2016-04-12:19"
"12",0,"remember safeway and spar everything is a fuckign tesco now","2016-04-12:19"
"13",0,"Delivery Driver for https://t.co/6NGHNooZiQ job in Las Vegas https://t.co/azduKyUmrO #jobstoday #jobs","2016-04-12:19"
"14",1,"Then Kroger, who does a MUCH better job than Safeway, took a WEEK to fill my phoned in script for a daily pill I needed FRIDAY.","2016-04-12:19"
"15",1,"Back on track for #30daysofbiking . Kudos to Key Bank and Safeway Mount Vernon for good bike racks. https://t.co/08MzwhO0Wa","2016-04-12:19"
"16",1,"Baseball season is back which means catered fresh fruit from Safeway every day <ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #lovemyjob","2016-04-12:19"
"17",-3,"So the pharmacist at Safeway failed to bill insurance for one script, failed to even FILL the cheap heartburn pills...","2016-04-12:19"
"18",2,"RT @Kellyypaigee: but they cost like $250.. I'd be happy with some $5 roses from Safeway https://t.co/fv4kHIe27r","2016-04-12:19"
"19",0,"Today is a heating pad, Netflix, Safeway baked potato soup kinda day <ed><U+00A0><U+00BD><ed><U+00B9><U+0083><ed><U+00A0><U+00BD><ed><U+00B9><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>","2016-04-12:19"
"20",0,"MINI METALS HO SCALE SAFEWAY FOODS WHITE WC TRACTOR/REFRIGERATED TRAILER SET  https://t.co/TLoCpEPr1C https://t.co/H91hMyvdem","2016-04-12:19"
"21",1,"A while ago I figured out @Safeway offers free wifi and forgot to share my thanks.","2016-04-12:19"
"22",0,"It ain't never this many people in Safeway <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>","2016-04-12:19"
"23",2,"Check out Kathleen Corkum, CIP giving out a $1000 RRSP prize to the winner of our Safeway Credit Union contest in Ca…https://t.co/FQc7C6oLP6","2016-04-12:19"
"24",0,"how much u guys charging for chopped oranges? @Walmart @Target @Safeway maybe need a career change to orange chopper upper","2016-04-12:19"
"25",0,"@Safeway 13814 Outlet Dr Silver Spring MD 20994","2016-04-12:19"
