"","tweet","created","number"
"1","negative","2016-04-11:20",4
"2","negative","2016-04-11:21",7
"3","negative","2016-04-11:22",6
"4","negative","2016-04-11:23",8
"5","negative","2016-04-12:00",5
"6","negative","2016-04-12:01",5
"7","negative","2016-04-12:02",5
"8","negative","2016-04-12:07",3
"9","negative","2016-04-12:08",1
"10","negative","2016-04-12:09",1
"11","negative","2016-04-12:11",2
"12","negative","2016-04-12:12",8
"13","negative","2016-04-12:13",6
"14","negative","2016-04-12:14",8
"15","negative","2016-04-12:15",4
"16","negative","2016-04-12:17",3
"17","negative","2016-04-12:18",4
"18","negative","2016-04-12:19",12
"19","negative","2016-04-12:20",4
"20","negative","2016-04-12:21",8
"21","negative","2016-04-12:22",4
"22","negative","2016-04-12:23",6
"23","negative","2016-04-13:00",5
"24","negative","2016-04-13:01",2
"25","negative","2016-04-13:02",2
"26","negative","2016-04-13:05",1
"27","negative","2016-04-13:06",1
"28","negative","2016-04-13:07",2
"29","negative","2016-04-13:08",2
"30","negative","2016-04-13:09",1
"31","negative","2016-04-13:11",4
"32","negative","2016-04-13:12",7
"33","negative","2016-04-13:13",6
"34","negative","2016-04-13:14",3
"35","negative","2016-04-13:15",4
"36","negative","2016-04-13:16",5
"37","negative","2016-04-13:17",8
"38","negative","2016-04-13:18",4
"39","negative","2016-04-13:19",5
"40","negative","2016-04-13:20",5
"41","negative","2016-04-13:21",8
"42","negative","2016-04-13:22",7
"43","negative","2016-04-13:23",11
"44","negative","2016-04-14:00",2
"45","negative","2016-04-14:01",6
"46","negative","2016-04-14:02",4
"47","negative","2016-04-14:03",4
"48","negative","2016-04-14:04",3
"49","negative","2016-04-14:09",2
"50","negative","2016-04-14:10",2
"51","negative","2016-04-14:12",1
"52","negative","2016-04-14:13",3
"53","negative","2016-04-14:15",4
"54","negative","2016-04-14:16",3
"55","negative","2016-04-14:17",8
"56","negative","2016-04-14:18",5
"57","negative","2016-04-14:19",6
"58","negative","2016-04-14:20",6
"59","negative","2016-04-14:21",6
"60","negative","2016-04-14:22",5
"61","negative","2016-04-14:23",6
"62","negative","2016-04-15:00",7
"63","negative","2016-04-15:01",2
"64","negative","2016-04-15:02",4
"65","negative","2016-04-15:03",5
"66","negative","2016-04-15:07",1
"67","negative","2016-04-15:08",1
"68","negative","2016-04-15:10",3
"69","negative","2016-04-15:11",1
"70","negative","2016-04-15:12",3
"71","negative","2016-04-15:13",12
"72","negative","2016-04-15:14",2
"73","negative","2016-04-15:15",6
"74","negative","2016-04-15:16",3
"75","negative","2016-04-15:17",7
"76","negative","2016-04-15:18",8
"77","negative","2016-04-15:19",10
"78","negative","2016-04-15:20",5
"79","negative","2016-04-15:21",6
"80","negative","2016-04-15:22",3
"81","negative","2016-04-15:23",5
"82","negative","2016-04-16:00",9
"83","negative","2016-04-16:01",5
"84","negative","2016-04-16:02",4
"85","negative","2016-04-16:03",5
"86","negative","2016-04-16:05",2
"87","negative","2016-04-16:06",2
"88","negative","2016-04-16:09",2
"89","negative","2016-04-16:10",1
"90","negative","2016-04-16:11",3
"91","negative","2016-04-16:12",3
"92","negative","2016-04-16:13",7
"93","negative","2016-04-16:14",4
"94","negative","2016-04-16:15",6
"95","negative","2016-04-16:16",3
"96","negative","2016-04-16:17",7
"97","negative","2016-04-16:18",2
"98","negative","2016-04-16:19",5
"99","negative","2016-04-16:20",9
"100","negative","2016-04-16:21",5
"101","negative","2016-04-16:22",4
"102","negative","2016-04-16:23",5
"103","negative","2016-04-17:00",4
"104","negative","2016-04-17:01",3
"105","negative","2016-04-17:02",1
"106","negative","2016-04-17:03",2
"107","negative","2016-04-17:04",2
"108","negative","2016-04-17:06",2
"109","negative","2016-04-17:10",1
"110","negative","2016-04-17:12",3
"111","negative","2016-04-17:13",2
"112","negative","2016-04-17:14",3
"113","negative","2016-04-17:15",2
"114","negative","2016-04-17:16",2
"115","negative","2016-04-17:17",8
"116","negative","2016-04-17:19",7
"117","negative","2016-04-17:20",2
"118","negative","2016-04-17:21",11
"119","negative","2016-04-17:22",2
"120","negative","2016-04-17:23",4
"121","negative","2016-04-18:00",6
"122","negative","2016-04-18:01",4
"123","negative","2016-04-18:03",3
"124","negative","2016-04-18:04",2
"125","negative","2016-04-18:08",1
"126","negative","2016-04-18:09",2
"127","negative","2016-04-18:10",1
"128","negative","2016-04-18:11",1
"129","negative","2016-04-18:12",2
