"","created","x"
"1","2016-04-11:22",7
"2","2016-04-11:23",4
"3","2016-04-12:00",6
"4","2016-04-12:01",15
"5","2016-04-12:02",-1
"6","2016-04-12:03",5
"7","2016-04-12:04",7
"8","2016-04-12:05",2
"9","2016-04-12:06",5
"10","2016-04-12:07",3
"11","2016-04-12:08",3
"12","2016-04-12:09",7
"13","2016-04-12:10",13
"14","2016-04-12:11",11
"15","2016-04-12:12",9
"16","2016-04-12:13",13
"17","2016-04-12:14",14
"18","2016-04-12:15",2
"19","2016-04-12:16",10
"20","2016-04-12:17",28
"21","2016-04-12:18",31
"22","2016-04-12:19",25
"23","2016-04-13:20",10
"24","2016-04-13:21",24
"25","2016-04-13:22",0
"26","2016-04-13:23",19
"27","2016-04-14:00",15
"28","2016-04-14:01",9
"29","2016-04-14:02",6
"30","2016-04-14:03",5
"31","2016-04-14:04",1
"32","2016-04-14:05",3
"33","2016-04-14:06",6
"34","2016-04-14:07",26
"35","2016-04-14:08",23
"36","2016-04-14:09",9
"37","2016-04-14:10",12
"38","2016-04-14:11",23
"39","2016-04-14:12",18
"40","2016-04-14:13",7
"41","2016-04-14:14",16
"42","2016-04-14:15",24
"43","2016-04-14:16",23
"44","2016-04-14:17",22
"45","2016-04-14:18",23
"46","2016-04-14:19",23
"47","2016-04-14:20",4
"48","2016-04-14:21",13
"49","2016-04-14:22",12
"50","2016-04-14:23",9
"51","2016-04-15:00",6
"52","2016-04-15:01",8
"53","2016-04-15:02",7
"54","2016-04-15:03",-5
"55","2016-04-15:04",4
"56","2016-04-15:05",-2
"57","2016-04-15:06",2
"58","2016-04-15:07",47
"59","2016-04-15:08",11
"60","2016-04-15:09",23
"61","2016-04-15:10",14
"62","2016-04-15:11",5
"63","2016-04-15:12",19
"64","2016-04-15:13",24
"65","2016-04-15:14",34
"66","2016-04-15:15",7
"67","2016-04-15:16",10
"68","2016-04-15:17",18
"69","2016-04-15:18",25
"70","2016-04-15:19",33
"71","2016-04-15:20",7
"72","2016-04-15:21",11
"73","2016-04-15:22",1
"74","2016-04-15:23",10
"75","2016-04-16:00",3
"76","2016-04-16:01",5
"77","2016-04-16:02",5
"78","2016-04-16:03",11
"79","2016-04-16:04",2
"80","2016-04-16:05",4
"81","2016-04-16:06",1
"82","2016-04-16:07",17
"83","2016-04-16:08",9
"84","2016-04-16:09",18
"85","2016-04-16:10",12
"86","2016-04-16:11",7
"87","2016-04-16:12",16
"88","2016-04-16:13",21
"89","2016-04-16:14",5
"90","2016-04-16:15",11
"91","2016-04-16:16",13
"92","2016-04-16:17",18
"93","2016-04-16:18",7
"94","2016-04-16:19",8
"95","2016-04-16:20",13
"96","2016-04-16:21",12
"97","2016-04-16:22",20
"98","2016-04-16:23",9
"99","2016-04-17:00",0
"100","2016-04-17:01",7
"101","2016-04-17:02",-2
"102","2016-04-17:03",0
"103","2016-04-17:04",2
"104","2016-04-17:05",2
"105","2016-04-17:06",-1
"106","2016-04-17:07",3
"107","2016-04-17:08",2
"108","2016-04-17:09",12
"109","2016-04-17:10",7
"110","2016-04-17:11",16
"111","2016-04-17:12",13
"112","2016-04-17:13",15
"113","2016-04-17:14",37
"114","2016-04-17:15",21
"115","2016-04-17:16",23
"116","2016-04-17:17",20
"117","2016-04-17:18",20
"118","2016-04-17:19",5
"119","2016-04-17:20",22
"120","2016-04-17:21",5
"121","2016-04-17:22",10
"122","2016-04-17:23",10
"123","2016-04-18:00",21
"124","2016-04-18:01",6
"125","2016-04-18:02",9
"126","2016-04-18:03",2
"127","2016-04-18:04",2
"128","2016-04-18:05",3
"129","2016-04-18:06",3
"130","2016-04-18:07",8
"131","2016-04-18:08",9
"132","2016-04-18:09",-5
"133","2016-04-18:10",16
"134","2016-04-18:11",9
"135","2016-04-18:12",7
"136","2016-04-18:13",25
"137","2016-04-18:14",7
"138","2016-04-18:15",21
"139","2016-04-18:16",2
"140","2016-04-18:17",14
"141","2016-04-18:18",3
"142","2016-04-18:19",18
"143","2016-04-13:19",0
