"","score","text","created"
"1",0,"Bacon Roasted Onion Brussel Sprouts Recipe https://t.co/C8L9fOrn4p #30MinuteMeals #Recipes #Sides/Veggies","2016-04-12:19"
"2",-1,"So far I've gotten Ashley, Taylor, and now Nikki addicted to Brussel sprouts <ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>","2016-04-12:19"
"3",0,"RT @MitsuMyra: ""omg our sprouts"" ""it's ok they're still on us"" #OMZM #OMG please XD https://t.co/wrsYCsyjFQ","2016-04-12:19"
"4",1,"RT @PlexusGirlSD: Love this!  Hey #Sprouts this is a good idea. https://t.co/TLkOjJGgMS","2016-04-12:19"
"5",0,"Do you ever shop at @sproutsfm? I just got myself some @larabar's and @cascadianfarm goodies. CHeck them out HERE: https://t.co/u6wQOXWZm3","2016-04-12:19"
"6",0,"RT @veganpornpics: https://t.co/SVCPkq2iNp - #vegan #veganism #whatveganseat #foodporn #veggie #vegetarian https://t.co/jWpddNxHqi","2016-04-12:19"
"7",0,"@Random_Factor It sprouts arms and legs and then it is so","2016-04-12:19"
"8",0,"My mother made Brussels sprouts<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>","2016-04-12:19"
"9",0,"RT @EcoWatch: 10 Reasons Eating Sprouts Should Be Part of Your Daily Diet https://t.co/YQpdseJCPb #health #goodhealth @BeFitFoods https://t…","2016-04-12:19"
"10",0,"Gostei de um vídeo @YouTube https://t.co/A0vRxlbCN5 Helicopter Song - Sprouts","2016-04-12:19"
"11",0,"RT @Momhatescooking: Ready to #save @sproutsfm!? Get these #coupons now! Coupons - https://t.co/kpNZnY6fAS #BetterForYouBrandSale #ad https…","2016-04-12:19"
"12",0,"@Birdpoof I'v never had brussels sprouts lol","2016-04-12:19"
"13",0,"RT @VeganUpdates: Pan Roasted Brussels Sprouts Subzi with Turmeric, Cumin and Mustard Seeds https://t.co/cN2qxA1Lm2 #vegan https://t.co/Hu2…","2016-04-12:19"
"14",-1,"@theandyadamson Dude, next time we're in person remind me to tell you about the brussel sprouts &amp; my mom. I'm crying in laughing so hard.","2016-04-12:19"
"15",0,"Chicken with a creamy cilantro lime sauce, potato cakes, and brussel sprouts ... it's what's for… https://t.co/OzyDVm40j6","2016-04-12:19"
"16",0,"A view through the moonroof #thunderstorm #hails @ Sprouts Farmers Market - Plano - Coit &amp; Legacy https://t.co/Y2y3IA7IVz","2016-04-12:19"
"17",0,"RT @iN3RT_: Apparently David Banner shops regularly at the Sprouts off of East West Connector.","2016-04-12:19"
"18",0,"RT @hhtfamilyblog: HOT! Huge sale at Sprouts. Find the April Savings here -&gt; https://t.co/xXO36OBhqE #ad #BetterForYouBrandSale https://t.c…","2016-04-12:19"
"19",1,"RT @TheTypical_Mom: BIG Sale at 1 of my Favorite stores 4 fresh produce!#betterforyoubrandsale #ad

* LOOK *---&gt;https://t.co/HOrdUpE9Z4 htt…","2016-04-12:19"
"20",3,"if y'all want some good ass gummy bears sprouts have the best ones ...off top","2016-04-12:19"
"21",0,"I added Brussel sprouts and kale to my daiya mac and cheese so i look more adulty https://t.co/F56yUheXKT","2016-04-12:19"
"22",0,"Brussel Sprouts get the same reaction https://t.co/DtY77DGel8","2016-04-12:19"
"23",0,"Brussels sprouts. Adulting to eleventy, people.","2016-04-12:19"
"24",3,"RT @_aspectacledowl: Stopped by @sproutsfm lately? They’ve got amazing deals on favorite better for you brands! AD https://t.co/MRaCOJY62d…","2016-04-12:19"
"25",0,"Quinoa bowl delivered to the studio, with dates &amp;sunflower seeds &amp;extra beets goat cheese kale &amp;sum kind of sprouts https://t.co/mhn6eTFEnt","2016-04-12:19"
"26",0,"RT @Momhatescooking: New #recipes and #coupons! Check out @sproutsfm for this recipe! https://t.co/kpNZnY6fAS #BetterForYouBrandSale #ad ht…","2016-04-12:19"
"27",0,"Knowledge sprouts and wonder dies","2016-04-12:19"
"28",0,"DENVER CO - LODO AREA
Stir-fried Malaysian Noodles, Scallop, Shrimp, Bean Sprouts 
@ChoLonBistro  - https://t.co/79PwvLbJ2X","2016-04-12:19"
"29",0,"Steak roll, roasted Brussel Sprouts and cucumber, Tomato Salad. #foodie #yummy #cleaneating… https://t.co/TJn5ny6mBI","2016-04-12:19"
"30",0,"Bacon wrapped, cheese stuffed hotdog (yup!!), sautéed Brussel sprouts with pancetta and… https://t.co/xIXiWYmglq","2016-04-12:19"
"31",1,"RT @LMLDFood: Head to @sproutsfm to enter a $2000 #giveaway &amp; grab some of your favorite snacks too! #BetterForYouBrandSale #ad https://t.c…","2016-04-12:19"
"32",0,"Thanks you @HungryGirl for making an appearance at @sproutsfm  Vestavia Hills! https://t.co/gttQtBfLCK","2016-04-12:19"
"33",0,"<U+30B7><U+30CE><U+300C><U+3042>~……<U+304A><U+8179><U+7A7A><U+3044><U+3066><U+304D><U+305F><U+300D><U+30EB><U+30EB><U+300C><U+30B0><U+30EB><U+30EB><U+30EB><U+30EB><U+30A5>~<U+300D>https://t.co/5xJ7uMQnkI","2016-04-12:19"
"34",0,"RT @FortuitousFoodi: @EurekaDallas @LakewoodBrewing 1st course Lakewood All Call paired with Brussel Sprouts w/ orange chili glaze <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> http…","2016-04-12:19"
"35",0,"@EurekaDallas @LakewoodBrewing 1st course Lakewood All Call paired with Brussel Sprouts w/ orange chili glaze <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> https://t.co/AweRlbz7tO","2016-04-12:19"
"36",0,"RT @knine918: Brussel sprouts  https://t.co/UmmHoK4Gnm","2016-04-12:19"
"37",-1,"Slice your onions, garlic and green onions. Rinse your bean sprouts. In the same pan (the one you cooked chicken then egg in) sauté....4/","2016-04-12:19"
"38",3,"Sprouts farmers market is like globo gym... People walk in and first words  ""welcome to sprouts where we are better than you and we know it""","2016-04-12:19"
"39",0,"I added brussle sprouts and kale so i can be a little more adulty to my daiya mac and cheese https://t.co/ZKNmjgyEdW","2016-04-12:19"
"40",0,"Brussels sprouts with fish and rice #dinner https://t.co/Nw6DVG2omO","2016-04-12:19"
"41",0,"https://t.co/SVCPkq2iNp - #vegan #veganism #whatveganseat #foodporn #veggie #vegetarian https://t.co/jWpddNxHqi","2016-04-12:19"
"42",0,"Sprouts Farmers Market says it cares about sustainability, but is selling Nestlé's illegally sourced bottled water https://t.co/xzCxpbtfZo","2016-04-12:19"
"43",0,"The Idea Sprouts Marketing Daily is out! https://t.co/uUQdyfTSpf Stories via @schneiderb @MIASmallBiz @MatShepSEO","2016-04-12:19"
"44",0,"Check out them sprouts... Yummy @ Hogan Hill https://t.co/ze8xrR2Q6Z","2016-04-12:19"
"45",0,"Brussel sprouts  https://t.co/UmmHoK4Gnm","2016-04-12:19"
"46",1,"Another FaBuLoUs #TastyTuesday from @KikiWellness! 

I've got to say, I love brussels sprouts,… https://t.co/SFoqS1qyDX","2016-04-12:19"
"47",1,"RT @TheKnowledge: Broccoli, cabbage, and brussel sprouts all contain a little bit of cyanide—eating them primes your liver to deal better w…","2016-04-12:19"
"48",0,"Hufflepuff head is Pomona Sprouts #Hufflepuffs #bot","2016-04-12:19"
"49",0,"#Sprouts: Possible #FREE Zevia and Seventh Generation Soap!!! https://t.co/q3rooZx73T","2016-04-12:19"
"50",0,"RT @msleamichele: ees pollinate 1/3 of our food. No ees, no lackerries or russels sprouts! Drop the letter <ed><U+00A0><U+00BD><ed><U+00B0><U+009D> to #BringBackTheBees. #ad http…","2016-04-12:19"
