"","tweet","created","number"
"1","negative","2016-04-11:22",5
"2","negative","2016-04-11:23",11
"3","negative","2016-04-12:00",3
"4","negative","2016-04-12:02",3
"5","negative","2016-04-12:03",1
"6","negative","2016-04-12:04",1
"7","negative","2016-04-12:05",1
"8","negative","2016-04-12:06",1
"9","negative","2016-04-12:07",2
"10","negative","2016-04-12:08",3
"11","negative","2016-04-12:09",5
"12","negative","2016-04-12:10",2
"13","negative","2016-04-12:11",6
"14","negative","2016-04-12:12",5
"15","negative","2016-04-12:13",8
"16","negative","2016-04-12:14",6
"17","negative","2016-04-12:15",12
"18","negative","2016-04-12:16",8
"19","negative","2016-04-12:17",7
"20","negative","2016-04-12:18",9
"21","negative","2016-04-12:19",6
"22","negative","2016-04-13:20",6
"23","negative","2016-04-13:21",12
"24","negative","2016-04-13:22",10
"25","negative","2016-04-13:23",6
"26","negative","2016-04-14:00",4
"27","negative","2016-04-14:01",2
"28","negative","2016-04-14:02",3
"29","negative","2016-04-14:03",4
"30","negative","2016-04-14:04",1
"31","negative","2016-04-14:05",3
"32","negative","2016-04-14:06",1
"33","negative","2016-04-14:07",3
"34","negative","2016-04-14:08",2
"35","negative","2016-04-14:09",1
"36","negative","2016-04-14:10",5
"37","negative","2016-04-14:11",8
"38","negative","2016-04-14:12",4
"39","negative","2016-04-14:13",8
"40","negative","2016-04-14:14",6
"41","negative","2016-04-14:15",5
"42","negative","2016-04-14:16",10
"43","negative","2016-04-14:17",7
"44","negative","2016-04-14:18",9
"45","negative","2016-04-14:19",11
"46","negative","2016-04-14:20",7
"47","negative","2016-04-14:21",11
"48","negative","2016-04-14:22",8
"49","negative","2016-04-14:23",8
"50","negative","2016-04-15:00",3
"51","negative","2016-04-15:01",1
"52","negative","2016-04-15:02",3
"53","negative","2016-04-15:03",4
"54","negative","2016-04-15:04",1
"55","negative","2016-04-15:05",2
"56","negative","2016-04-15:06",2
"57","negative","2016-04-15:07",6
"58","negative","2016-04-15:08",4
"59","negative","2016-04-15:09",4
"60","negative","2016-04-15:10",6
"61","negative","2016-04-15:11",4
"62","negative","2016-04-15:12",4
"63","negative","2016-04-15:13",1
"64","negative","2016-04-15:14",4
"65","negative","2016-04-15:15",6
"66","negative","2016-04-15:16",4
"67","negative","2016-04-15:17",6
"68","negative","2016-04-15:18",9
"69","negative","2016-04-15:19",4
"70","negative","2016-04-15:20",6
"71","negative","2016-04-15:21",5
"72","negative","2016-04-15:22",6
"73","negative","2016-04-15:23",3
"74","negative","2016-04-16:00",4
"75","negative","2016-04-16:01",1
"76","negative","2016-04-16:03",1
"77","negative","2016-04-16:04",1
"78","negative","2016-04-16:05",1
"79","negative","2016-04-16:06",3
"80","negative","2016-04-16:07",2
"81","negative","2016-04-16:08",3
"82","negative","2016-04-16:09",1
"83","negative","2016-04-16:10",2
"84","negative","2016-04-16:11",2
"85","negative","2016-04-16:12",4
"86","negative","2016-04-16:13",6
"87","negative","2016-04-16:14",6
"88","negative","2016-04-16:15",8
"89","negative","2016-04-16:16",3
"90","negative","2016-04-16:17",1
"91","negative","2016-04-16:18",9
"92","negative","2016-04-16:19",3
"93","negative","2016-04-16:20",4
"94","negative","2016-04-16:21",2
"95","negative","2016-04-16:22",6
"96","negative","2016-04-16:23",7
"97","negative","2016-04-17:00",8
"98","negative","2016-04-17:01",5
"99","negative","2016-04-17:02",5
"100","negative","2016-04-17:03",3
"101","negative","2016-04-17:04",1
"102","negative","2016-04-17:06",1
"103","negative","2016-04-17:08",1
"104","negative","2016-04-17:09",4
"105","negative","2016-04-17:10",1
"106","negative","2016-04-17:11",3
"107","negative","2016-04-17:12",6
"108","negative","2016-04-17:13",2
"109","negative","2016-04-17:14",3
"110","negative","2016-04-17:15",2
"111","negative","2016-04-17:16",4
"112","negative","2016-04-17:17",4
"113","negative","2016-04-17:18",7
"114","negative","2016-04-17:19",7
"115","negative","2016-04-17:20",8
"116","negative","2016-04-17:21",10
"117","negative","2016-04-17:22",7
"118","negative","2016-04-17:23",4
"119","negative","2016-04-18:00",2
"120","negative","2016-04-18:01",2
"121","negative","2016-04-18:02",1
"122","negative","2016-04-18:03",4
"123","negative","2016-04-18:04",3
"124","negative","2016-04-18:05",1
"125","negative","2016-04-18:06",2
"126","negative","2016-04-18:07",1
"127","negative","2016-04-18:09",7
"128","negative","2016-04-18:10",1
"129","negative","2016-04-18:11",1
"130","negative","2016-04-18:12",9
"131","negative","2016-04-18:13",7
"132","negative","2016-04-18:14",8
"133","negative","2016-04-18:15",6
"134","negative","2016-04-18:16",15
"135","negative","2016-04-18:17",14
"136","negative","2016-04-18:18",7
"137","negative","2016-04-18:19",10
"138","positive","2016-04-11:22",11
"139","positive","2016-04-11:23",15
"140","positive","2016-04-12:00",11
"141","positive","2016-04-12:01",10
"142","positive","2016-04-12:02",3
"143","positive","2016-04-12:03",4
"144","positive","2016-04-12:04",7
"145","positive","2016-04-12:05",3
"146","positive","2016-04-12:06",5
"147","positive","2016-04-12:07",5
"148","positive","2016-04-12:08",6
"149","positive","2016-04-12:09",11
"150","positive","2016-04-12:10",13
"151","positive","2016-04-12:11",13
"152","positive","2016-04-12:12",12
"153","positive","2016-04-12:13",22
"154","positive","2016-04-12:14",16
"155","positive","2016-04-12:15",10
"156","positive","2016-04-12:16",20
"157","positive","2016-04-12:17",28
"158","positive","2016-04-12:18",26
"159","positive","2016-04-12:19",20
"160","positive","2016-04-13:20",16
"161","positive","2016-04-13:21",31
"162","positive","2016-04-13:22",12
"163","positive","2016-04-13:23",23
"164","positive","2016-04-14:00",19
"165","positive","2016-04-14:01",11
"166","positive","2016-04-14:02",8
"167","positive","2016-04-14:03",9
"168","positive","2016-04-14:04",2
"169","positive","2016-04-14:05",3
"170","positive","2016-04-14:06",7
"171","positive","2016-04-14:07",25
"172","positive","2016-04-14:08",17
"173","positive","2016-04-14:09",8
"174","positive","2016-04-14:10",14
"175","positive","2016-04-14:11",25
"176","positive","2016-04-14:12",21
"177","positive","2016-04-14:13",15
"178","positive","2016-04-14:14",19
"179","positive","2016-04-14:15",25
"180","positive","2016-04-14:16",30
"181","positive","2016-04-14:17",25
"182","positive","2016-04-14:18",22
"183","positive","2016-04-14:19",31
"184","positive","2016-04-14:20",17
"185","positive","2016-04-14:21",22
"186","positive","2016-04-14:22",17
"187","positive","2016-04-14:23",9
"188","positive","2016-04-15:00",6
"189","positive","2016-04-15:01",7
"190","positive","2016-04-15:02",7
"191","positive","2016-04-15:03",3
"192","positive","2016-04-15:04",4
"193","positive","2016-04-15:06",3
"194","positive","2016-04-15:07",50
"195","positive","2016-04-15:08",13
"196","positive","2016-04-15:09",23
"197","positive","2016-04-15:10",17
"198","positive","2016-04-15:11",9
"199","positive","2016-04-15:12",14
"200","positive","2016-04-15:13",22
"201","positive","2016-04-15:14",33
"202","positive","2016-04-15:15",12
"203","positive","2016-04-15:16",11
"204","positive","2016-04-15:17",19
"205","positive","2016-04-15:18",29
"206","positive","2016-04-15:19",30
"207","positive","2016-04-15:20",10
"208","positive","2016-04-15:21",16
"209","positive","2016-04-15:22",8
"210","positive","2016-04-15:23",14
"211","positive","2016-04-16:00",7
"212","positive","2016-04-16:01",6
"213","positive","2016-04-16:02",5
"214","positive","2016-04-16:03",11
"215","positive","2016-04-16:04",4
"216","positive","2016-04-16:05",5
"217","positive","2016-04-16:06",2
"218","positive","2016-04-16:07",14
"219","positive","2016-04-16:08",11
"220","positive","2016-04-16:09",13
"221","positive","2016-04-16:10",12
"222","positive","2016-04-16:11",9
"223","positive","2016-04-16:12",17
"224","positive","2016-04-16:13",22
"225","positive","2016-04-16:14",12
"226","positive","2016-04-16:15",18
"227","positive","2016-04-16:16",13
"228","positive","2016-04-16:17",15
"229","positive","2016-04-16:18",15
"230","positive","2016-04-16:19",9
"231","positive","2016-04-16:20",16
"232","positive","2016-04-16:21",12
"233","positive","2016-04-16:22",22
"234","positive","2016-04-16:23",13
"235","positive","2016-04-17:00",9
"236","positive","2016-04-17:01",12
"237","positive","2016-04-17:02",4
"238","positive","2016-04-17:03",4
"239","positive","2016-04-17:04",3
"240","positive","2016-04-17:05",2
"241","positive","2016-04-17:06",1
"242","positive","2016-04-17:07",3
"243","positive","2016-04-17:08",3
"244","positive","2016-04-17:09",13
"245","positive","2016-04-17:10",7
