"","tweet","created","number"
"1","negative","2016-04-12:17",78
"2","negative","2016-04-12:18",199
"3","negative","2016-04-12:19",217
"4","negative","2016-04-13:17",44
"5","negative","2016-04-13:18",233
"6","negative","2016-04-13:19",182
"7","negative","2016-04-14:18",217
"8","negative","2016-04-14:19",193
"9","negative","2016-04-15:17",69
"10","negative","2016-04-15:18",164
"11","negative","2016-04-15:19",188
"12","negative","2016-04-16:17",108
"13","negative","2016-04-16:18",188
"14","negative","2016-04-16:19",154
"15","negative","2016-04-17:17",84
"16","negative","2016-04-17:18",260
"17","negative","2016-04-17:19",250
"18","negative","2016-04-18:18",150
"19","negative","2016-04-18:19",201
"20","positive","2016-04-12:17",109
"21","positive","2016-04-12:18",348
"22","positive","2016-04-12:19",312
"23","positive","2016-04-13:17",62
"24","positive","2016-04-13:18",319
"25","positive","2016-04-13:19",318
"26","positive","2016-04-14:18",279
"27","positive","2016-04-14:19",455
"28","positive","2016-04-15:17",120
"29","positive","2016-04-15:18",235
"30","positive","2016-04-15:19",286
"31","positive","2016-04-16:17",197
"32","positive","2016-04-16:18",232
"33","positive","2016-04-16:19",270
"34","positive","2016-04-17:17",138
"35","positive","2016-04-17:18",263
"36","positive","2016-04-17:19",304
"37","positive","2016-04-18:18",289
"38","positive","2016-04-18:19",345
