"","created","x"
"1","2016-04-07:15",-2
"2","2016-04-07:16",28
"3","2016-04-07:17",17
"4","2016-04-07:18",14
"5","2016-04-07:19",60
"6","2016-04-08:15",45
"7","2016-04-08:16",28
"8","2016-04-08:17",40
"9","2016-04-08:18",16
"10","2016-04-08:19",13
"11","2016-04-09:15",22
"12","2016-04-09:16",-55
"13","2016-04-09:17",32
"14","2016-04-09:18",6
"15","2016-04-09:19",39
"16","2016-04-10:16",-4
"17","2016-04-10:17",-11
"18","2016-04-10:18",27
"19","2016-04-10:19",20
"20","2016-04-11:16",-183
"21","2016-04-11:17",79
"22","2016-04-11:18",-14
"23","2016-04-11:19",-8
"24","2016-04-12:17",34
"25","2016-04-12:18",57
"26","2016-04-12:19",25
"27","2016-04-13:15",-15
"28","2016-04-13:16",89
"29","2016-04-13:17",34
"30","2016-04-13:18",69
"31","2016-04-13:19",26
"32","2016-04-14:15",-9
"33","2016-04-14:16",133
"34","2016-04-14:17",44
"35","2016-04-14:18",52
"36","2016-04-14:19",27
"37","2016-04-15:16",142
"38","2016-04-15:17",101
"39","2016-04-15:18",103
"40","2016-04-15:19",91
"41","2016-04-16:11",8
"42","2016-04-16:17",26
"43","2016-04-16:18",7
"44","2016-04-16:19",4
"45","2016-04-17:16",21
"46","2016-04-17:17",54
"47","2016-04-17:18",66
"48","2016-04-17:19",80
"49","2016-04-18:15",19
"50","2016-04-18:16",33
"51","2016-04-18:17",48
"52","2016-04-18:18",46
"53","2016-04-18:19",62
"54","2016-04-19:19",3
