"","tweet","created","number"
"1","negative","2016-04-07:15",11
"2","negative","2016-04-07:16",114
"3","negative","2016-04-07:17",106
"4","negative","2016-04-07:18",114
"5","negative","2016-04-07:19",120
"6","negative","2016-04-08:15",27
"7","negative","2016-04-08:16",94
"8","negative","2016-04-08:17",71
"9","negative","2016-04-08:18",117
"10","negative","2016-04-08:19",133
"11","negative","2016-04-09:15",26
"12","negative","2016-04-09:16",135
"13","negative","2016-04-09:17",102
"14","negative","2016-04-09:18",96
"15","negative","2016-04-09:19",105
"16","negative","2016-04-10:16",93
"17","negative","2016-04-10:17",151
"18","negative","2016-04-10:18",131
"19","negative","2016-04-10:19",154
"20","negative","2016-04-11:16",291
"21","negative","2016-04-11:17",131
"22","negative","2016-04-11:18",148
"23","negative","2016-04-11:19",168
"24","negative","2016-04-12:17",68
"25","negative","2016-04-12:18",124
"26","negative","2016-04-12:19",147
"27","negative","2016-04-13:15",31
"28","negative","2016-04-13:16",97
"29","negative","2016-04-13:17",108
"30","negative","2016-04-13:18",121
"31","negative","2016-04-13:19",131
"32","negative","2016-04-14:15",11
"33","negative","2016-04-14:16",79
"34","negative","2016-04-14:17",97
"35","negative","2016-04-14:18",99
"36","negative","2016-04-14:19",104
"37","negative","2016-04-15:16",57
"38","negative","2016-04-15:17",89
"39","negative","2016-04-15:18",105
"40","negative","2016-04-15:19",98
"41","negative","2016-04-16:11",2
"42","negative","2016-04-16:17",38
"43","negative","2016-04-16:18",95
"44","negative","2016-04-16:19",107
"45","negative","2016-04-17:16",71
"46","negative","2016-04-17:17",99
"47","negative","2016-04-17:18",91
"48","negative","2016-04-17:19",103
"49","negative","2016-04-18:15",31
"50","negative","2016-04-18:16",109
"51","negative","2016-04-18:17",103
"52","negative","2016-04-18:18",98
"53","negative","2016-04-18:19",112
"54","positive","2016-04-07:15",13
"55","positive","2016-04-07:16",141
"56","positive","2016-04-07:17",130
"57","positive","2016-04-07:18",150
"58","positive","2016-04-07:19",172
"59","positive","2016-04-08:15",73
"60","positive","2016-04-08:16",113
"61","positive","2016-04-08:17",104
"62","positive","2016-04-08:18",129
"63","positive","2016-04-08:19",153
"64","positive","2016-04-09:15",49
"65","positive","2016-04-09:16",111
"66","positive","2016-04-09:17",127
"67","positive","2016-04-09:18",111
"68","positive","2016-04-09:19",131
"69","positive","2016-04-10:16",93
"70","positive","2016-04-10:17",133
"71","positive","2016-04-10:18",157
"72","positive","2016-04-10:19",187
"73","positive","2016-04-11:16",110
"74","positive","2016-04-11:17",184
"75","positive","2016-04-11:18",139
"76","positive","2016-04-11:19",169
"77","positive","2016-04-12:17",99
"78","positive","2016-04-12:18",181
"79","positive","2016-04-12:19",190
"80","positive","2016-04-13:15",22
"81","positive","2016-04-13:16",172
"82","positive","2016-04-13:17",152
"83","positive","2016-04-13:18",178
"84","positive","2016-04-13:19",161
"85","positive","2016-04-14:15",5
"86","positive","2016-04-14:16",177
"87","positive","2016-04-14:17",133
"88","positive","2016-04-14:18",149
"89","positive","2016-04-14:19",139
"90","positive","2016-04-15:16",194
"91","positive","2016-04-15:17",183
"92","positive","2016-04-15:18",196
"93","positive","2016-04-15:19",185
"94","positive","2016-04-16:11",6
"95","positive","2016-04-16:17",64
"96","positive","2016-04-16:18",113
"97","positive","2016-04-16:19",121
"98","positive","2016-04-17:16",96
"99","positive","2016-04-17:17",141
"100","positive","2016-04-17:18",145
"101","positive","2016-04-17:19",155
"102","positive","2016-04-18:15",44
"103","positive","2016-04-18:16",128
"104","positive","2016-04-18:17",145
"105","positive","2016-04-18:18",138
"106","positive","2016-04-18:19",165
"107","positive","2016-04-19:19",2
